╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
603332.SH,кужщаЗ╫э,20190117,,27.99,27.99,27.99,27.99,53700,1503063,8.55,43.9815,27.99,0.1806,832282650,,3329074620,29735000,0,118938000,24.6721,4.3483,1.9097,-141.2252,
603332.SH,кужщаЗ╫э,20190118,27.99,30.79,30.79,30.79,30.79,63658,1960030,2.8,10.0036,30.79,0.2141,915540650,,3662101020,29735000,0,118938000,27.1401,4.7833,2.1007,-155.3528,
603332.SH,кужщаЗ╫э,20190121,30.79,33.87,33.87,33.87,33.87,125542,4252108,3.08,10.0032,33.87,0.4222,1007124450,,4028430060,29735000,0,118938000,29.855,5.2617,2.3108,-170.8931,
603332.SH,кужщаЗ╫э,20190122,33.87,37.26,37.26,37.26,37.26,859331,32018673,3.39,10.0089,37.26,2.89,1107926100,,4431629880,29735000,0,118938000,32.8432,5.7884,2.5421,-187.9975,
603332.SH,кужщаЗ╫э,20190123,37.26,40.99,40.99,40.99,40.99,1073411,43999117,3.73,10.0107,40.99,3.6099,1218837650,,4875268620,29735000,0,118938000,36.131,6.3678,2.7966,-206.8175,
603332.SH,кужщаЗ╫э,20190124,40.99,45.09,45.09,45.09,45.09,394777,17800495,4.1,10.0024,45.09,1.3277,1340751150,,5362914420,29735000,0,118938000,39.745,7.0048,3.0763,-227.5042,
603332.SH,кужщаЗ╫э,20190125,45.09,47,49.3,46,46.9,20763655,981671959,1.81,4.0142,47.2784,69.829,1394571500,,5578192200,29735000,0,118938000,41.3405,7.286,3.1998,-236.6367,
603332.SH,кужщаЗ╫э,20190128,46.9,42.3,43.28,42.21,42.21,4072274,173060537,-4.69,-10,42.4973,13.6952,1255114350,,5020372980,29735000,0,118938000,37.2064,6.5574,2.8798,-212.973,
603332.SH,кужщаЗ╫э,20190129,42.21,38,40.39,38,39.27,13063849,508367349,-2.94,-6.9652,38.9141,43.9342,1167693450,,4670695260,29735000,0,118938000,34.6149,6.1006,2.6793,-198.1391,
603332.SH,кужщаЗ╫э,20190130,39.27,38.52,40.96,38.44,39.37,9950467,395989411,0.1,0.2546,39.7961,33.4638,1170666950,,4682589060,29735000,0,118938000,34.7031,6.1162,2.6861,-198.6436,
603332.SH,кужщаЗ╫э,20190131,39.37,38.6,38.79,35.43,35.43,10506073,379713496,-3.94,-10.0076,36.1423,35.3323,1053511050,,4213973340,29735000,0,118938000,31.2301,5.5041,2.4173,-178.7641,
603332.SH,кужщаЗ╫э,20190201,35.43,35.62,36.26,34.63,35.63,7628339,271591128,0.2,0.5645,35.6029,25.6544,1059458050,,4237760940,29735000,0,118938000,31.4064,5.5352,2.4309,-179.7733,
603332.SH,кужщаЗ╫э,20190211,35.63,35.81,37.37,35.5,36.96,7949434,290489395,1.33,3.7328,36.5421,26.7343,1099005600,,4395948480,29735000,0,118938000,32.5788,5.7418,2.5217,-186.4839,
603332.SH,кужщаЗ╫э,20190212,36.96,37.5,40.06,37.5,38.39,11550014,446839887,1.43,3.869,38.6874,38.8432,1141526650,,4566029820,29735000,0,118938000,33.8392,5.9639,2.6192,-193.699,
603332.SH,кужщаЗ╫э,20190213,38.39,37.82,38.58,37.15,38.25,8990686,340815289,-0.14,-0.3647,37.9076,30.236,1137363750,,4549378500,29735000,0,118938000,33.7158,5.9422,2.6097,-192.9926,
603332.SH,кужщаЗ╫э,20190214,38.25,38,39.6,37.67,38.98,9806774,379968259,0.73,1.9085,38.7455,32.9806,1159070300,,4636203240,29735000,0,118938000,34.3593,6.0556,2.6595,-196.6759,
603332.SH,кужщаЗ╫э,20190215,38.98,38.98,39.95,38.22,38.39,8293246,323480035,-0.59,-1.5136,39.0052,27.8905,1141526650,,4566029820,29735000,0,118938000,33.8392,5.9639,2.6192,-193.699,
603332.SH,кужщаЗ╫э,20190218,38.39,38.1,39.4,37.01,39.4,10466471,401902492,1.01,2.6309,38.399,35.1992,1171559000,,4686157200,29735000,0,118938000,34.7295,6.1208,2.6881,-198.795,
603332.SH,кужщаЗ╫э,20190219,39.4,38.9,40.49,38.51,39.98,12396397,489512541,0.58,1.4721,39.4883,41.6896,1188805300,,4755141240,29735000,0,118938000,35.2408,6.2109,2.7277,-201.7214,
603332.SH,кужщаЗ╫э,20190220,39.98,39.52,39.97,38.22,38.48,8238212,320805139,-1.5,-3.7519,38.9411,27.7054,1144202800,,4576734240,29735000,0,118938000,33.9186,5.9779,2.6254,-194.1531,
603332.SH,кужщаЗ╫э,20190221,38.48,38.34,38.95,37.6,37.97,7001364,267509208,-0.51,-1.3254,38.2082,23.5459,1129037950,,4516075860,29735000,0,118938000,33.469,5.8987,2.5906,-191.5799,
