´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
300589.SZ,½­Áú´¬Í§,20170113,,8.37,9.13,8.37,9.13,8068,73280,2.79,44.0063,9.0828,0.0372,197847100,,791297100,21670000,0,86670000,24.3766,5.1716,1.9044,7.4581,
300589.SZ,½­Áú´¬Í§,20170116,9.13,10.04,10.04,10.04,10.04,3936,39517,0.91,9.9671,10.0399,0.0182,217566800,,870166800,21670000,0,86670000,26.8062,5.687,2.0942,8.2015,
300589.SZ,½­Áú´¬Í§,20170117,10.04,11.04,11.04,11.04,11.04,4561,50353,1,9.9602,11.0399,0.021,239236800,,956836800,21670000,0,86670000,29.4762,6.2535,2.3028,9.0184,
300589.SZ,½­Áú´¬Í§,20170118,11.04,12.14,12.14,12.14,12.14,3650,44311,1.1,9.9638,12.14,0.0168,263073800,,1052173800,21670000,0,86670000,32.4131,6.8765,2.5323,9.917,
300589.SZ,½­Áú´¬Í§,20170119,12.14,13.35,13.35,13.35,13.35,10551,140855,1.21,9.9671,13.3499,0.0487,289294500,,1157044500,21670000,0,86670000,35.6437,7.5619,2.7847,10.9054,
300589.SZ,½­Áú´¬Í§,20170120,13.35,14.69,14.69,14.69,14.69,12586,184888,1.34,10.0375,14.69,0.0581,318332300,,1273182300,21670000,0,86670000,39.2214,8.3209,3.0642,12,
300589.SZ,½­Áú´¬Í§,20170123,14.69,16.16,16.16,16.16,16.16,11500,185840,1.47,10.0068,16.16,0.0531,350187200,,1400587200,21670000,0,86670000,43.1463,9.1536,3.3708,13.2008,
300589.SZ,½­Áú´¬Í§,20170124,16.16,17.78,17.78,17.78,17.78,10036,178440,1.62,10.0248,17.78,0.0463,385292600,,1540992600,21670000,0,86670000,47.4716,10.0712,3.7087,14.5242,
300589.SZ,½­Áú´¬Í§,20170125,17.78,19.56,19.56,19.56,19.56,18866,369018,1.78,10.0112,19.5599,0.0871,423865200,,1695265200,21670000,0,86670000,52.2241,11.0795,4.08,15.9782,
300589.SZ,½­Áú´¬Í§,20170126,19.56,21.52,21.52,21.52,21.52,47536,1022974,1.96,10.0204,21.52,0.2194,466338400,,1865138400,21670000,0,86670000,57.4571,12.1897,4.4889,17.5793,
