╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
603713.SH,цэ╤Ш©кню,20180713,,16.23,16.23,16.23,16.23,21457,348247,4.96,44.0106,16.23,0.0563,618687600,,2474652760.32,38120000,0,152473984,22.0148,3.0974,1.9165,29.0023,
603713.SH,цэ╤Ш©кню,20180716,16.23,17.85,17.85,17.85,17.85,9600,171360,1.62,9.9815,17.85,0.0252,680442000,,2721660614.4,38120000,0,152473984,24.2122,3.4066,2.1078,31.8972,
603713.SH,цэ╤Ш©кню,20180717,17.85,19.64,19.64,19.64,19.64,17046,334783,1.79,10.028,19.64,0.0447,748676800,,2994589045.76,38120000,0,152473984,26.6403,3.7482,2.3192,35.0958,
603713.SH,цэ╤Ш©кню,20180718,19.64,21.6,21.6,21.6,21.6,37865,817884,1.96,9.9796,21.6,0.0993,823392000,,3293438054.4,38120000,0,152473984,29.2989,4.1223,2.5507,38.5983,
603713.SH,цэ╤Ш©кню,20180719,21.6,23.76,23.76,23.76,23.76,95755,2275139,2.16,10,23.76,0.2512,905731200,,3622781859.84,38120000,0,152473984,32.2287,4.5345,2.8057,42.4581,
603713.SH,цэ╤Ш©кню,20180720,23.76,26.14,26.14,26.14,26.14,121648,3179879,2.38,10.0168,26.14,0.3191,996456800,,3985669941.76,38120000,0,152473984,35.457,4.9887,3.0868,46.7111,
603713.SH,цэ╤Ш©кню,20180723,26.14,28.75,28.75,28.75,28.75,100093,2877674,2.61,9.9847,28.75,0.2626,1095950000,,4383627040,38120000,0,152473984,38.9973,5.4868,3.395,51.375,
603713.SH,цэ╤Ш©кню,20180724,28.75,31.63,31.63,31.63,31.63,106733,3375965,2.88,10.0174,31.63,0.28,1205735600,,4822752113.92,38120000,0,152473984,42.9038,6.0364,3.7351,56.5214,
603713.SH,цэ╤Ш©кню,20180725,31.63,34.79,34.79,34.79,34.79,149331,5195225,3.16,9.9905,34.79,0.3917,1326194800,,5304569903.36,38120000,0,152473984,47.1901,6.6395,4.1082,62.1682,
603713.SH,цэ╤Ш©кню,20180726,34.79,38.27,38.27,38.27,38.27,191620,7333297,3.48,10.0029,38.27,0.5027,1458852400,,5835179367.68,38120000,0,152473984,51.9105,7.3036,4.5192,68.3868,
603713.SH,цэ╤Ш©кню,20180727,38.27,42.1,42.1,42.1,42.1,811806,34177033,3.83,10.0078,42.1,2.1296,1604852000,,6419154726.4,38120000,0,152473984,57.1056,8.0346,4.9714,75.2309,
603713.SH,цэ╤Ш©кню,20180730,42.1,46.31,46.31,46.31,46.31,1047224,48496943,4.21,10,46.31,2.7472,1765337200,,7061070199.04,38120000,0,152473984,62.8162,8.838,5.4686,82.754,
603713.SH,цэ╤Ш©кню,20180731,46.31,50.94,50.94,48.01,50.29,30706727,1536149250,3.98,8.5943,50.0265,80.5528,1917054800,,7667916655.36,38120000,0,152473984,68.2148,9.5976,5.9386,89.8661,
603713.SH,цэ╤Ш©кню,20180801,50.29,51,52.6,48.8,49.89,27694481,1410834244,-0.4,-0.7954,50.9428,72.6508,1901806800,,7606927061.76,38120000,0,152473984,67.6722,9.5213,5.8913,89.1513,
603713.SH,цэ╤Ш©кню,20180802,49.89,49.5,52.55,47.69,51.69,25094081,1274115048,1.8,3.6079,50.7735,65.8292,1970422800,,7881380232.96,38120000,0,152473984,70.1138,9.8648,6.1039,92.3678,
