¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
600352.SH,’„Ω≠¡˙ ¢,20070104,16.9718,17.355,17.853,16.9718,17.24,12338240,56121949,0.2682,1.5801,4.5486,2.6367,2105709516,,2655900000,467935448,0,590200000,13.9866,2.3119,1.0736,-13.3916,
600352.SH,’„Ω≠¡˙ ¢,20070105,17.24,17.24,18.0829,17.1634,18.0446,11821873,54224887,0.8045,4.6667,4.5868,2.5264,2203975960.08,,2779842000,467935448,0,590200000,14.6393,2.4198,1.1237,-14.0165,
600352.SH,’„Ω≠¡˙ ¢,20070108,18.0446,18.0829,18.7725,17.9679,18.6575,15977018,77279727,0.613,3.397,4.8369,3.4144,2278845631.76,,2874274000,467935448,0,590200000,15.1366,2.502,1.1619,-14.4927,
600352.SH,’„Ω≠¡˙ ¢,20070109,18.6575,18.7725,19.5387,18.6192,18.8874,14388078,71263570,0.2299,1.232,4.953,3.0748,2306921758.64,,2909686000,467935448,0,590200000,15.3231,2.5329,1.1762,-14.6712,
600352.SH,’„Ω≠¡˙ ¢,20070110,18.8874,18.7725,20.1134,18.7725,19.8835,18260376,92418542,0.9961,5.2738,5.0612,3.9023,2428584975.12,,3063138000,467935448,0,590200000,16.1312,2.6664,1.2382,-15.445,
600352.SH,’„Ω≠¡˙ ¢,20070111,19.8835,19.9218,20.4199,19.4621,19.6919,20212285,105243053,-0.1916,-0.9634,5.2069,4.3195,2405188202.72,,3033628000,467935448,0,590200000,15.9758,2.6407,1.2263,-15.2962,
600352.SH,’„Ω≠¡˙ ¢,20070112,19.6919,19.4621,19.8452,18.3894,18.8874,18338170,91499179,-0.8045,-4.0856,4.9895,3.919,2306921758.64,,2909686000,467935448,0,590200000,15.3231,2.5329,1.1762,-14.6712,
600352.SH,’„Ω≠¡˙ ¢,20070115,18.8874,18.964,19.9984,18.6959,19.9218,16763909,84888105,1.0344,5.4767,5.0637,3.5825,2433264329.6,,3069040000,467935448,0,590200000,16.1622,2.6716,1.2406,-15.4747,
600352.SH,’„Ω≠¡˙ ¢,20070116,19.9218,20.1134,20.1517,19.4621,19.9984,15140130,78279302,0.0766,0.3846,5.1703,3.2355,2442623038.56,,3080844000,467935448,0,590200000,16.2244,2.6818,1.2454,-15.5343,
600352.SH,’„Ω≠¡˙ ¢,20070117,19.9984,20.1517,21.4543,20.1517,20.6114,28942295,157217202,0.613,3.0651,5.4321,6.1851,2517492710.24,,3175276000,467935448,0,590200000,16.7217,2.764,1.2836,-16.0104,
600352.SH,’„Ω≠¡˙ ¢,20070118,20.6114,20.4199,21.0328,20.0367,20.9945,13733863,73440200,0.3831,1.8587,5.3474,2.935,2564286255.04,,3234296000,467935448,0,590200000,17.0325,2.8154,1.3074,-16.308,
